question,answer
根据巴申定律，在某一PS值下，击穿电压存在什么值。,极小值
在极不均匀电场中，空气湿度增加，空气间隙击穿电压怎样变化,提高
对支持绝缘子，加均压环能提高闪络电压的原因是,改善电极附近电场分布。
沿面放电就是沿着什么表面气体中发生的放电。,固体介质 
越易吸湿的固体，沿面闪络电压就越怎样,提高
常规的防污闪措施有,增加爬距，加强清扫，采用硅油、地蜡等涂料
交流高电压试验设备主要是指,高电压试验变压器
传输线路的波阻抗与什么有关，与什么无关。,传输线路的波阻抗与单位长度电感和电容有关，与线路长度无关。
在末端开路的情况下，波发生反射后，导线上的电压会怎样,提高一倍
波传输时，发生衰减的主要原因是,导线电阻和线路对地电导 、大地电阻和地中电流等值深度的影响 、冲击电晕的影响。
Z1、Z2两不同波阻抗的长线相连于A点，行波在A点将发生折射与反射，反射系数的β取值范围为,－1≤β≤1。
落雷密度是指,每雷暴日中每平方公里地面内落雷的次数。
雷电波的波头范围一般在怎样的范围内，在我国防雷设计中，通常建议采用什么长度的雷电流波头长度。,雷电波的波头范围一般在1us到5us范围内，在我国防雷设计中，通常建议采用2.6us长度的雷电流波头长度。
埋入地中的金属接地体称为接地装置，其作用是,降低接地电阻
中等雷电活动地区是指该地区一年中听到雷闪放电的天数Td范围为，15～40。
对于500kV的高压输电线路，避雷线的保护角   一般不大于,15° 。
输电线路防雷性能的优劣，工程上主要用哪两个指标来衡量,耐雷水平和雷击跳闸率
GIS的绝缘水平主要取决于,雷电冲击水平。
降低杆塔接地电阻是提高线路耐雷水平防止什么的有效措施。,反击
避雷针加设在配电装置构架上时，避雷针与主接地网的地下连接点到变压器接地线与主接地网的地下连接点之间的距离不得小于多少,15m
我国35~220kV电网的电气设备绝缘水平是以避雷器多少kA下的残压作为绝缘配合的设计依据。,5
在中性点非直接接地系统中，主要的操作过电压是,弧光接地过电压  。
对于220kV及以下系统，通常设备的绝缘结构设计允许承受可能出现的多少倍的操作过电压。,3～4
三相断路器合闸时总存在一定程度的不同期，而这将加大过电压幅值，因而在超高压系统中多采用,单相重合闸。
要想避免切空线过电压，最根本的措施就是要,改进断路器的灭弧性能。
目前切空变过电压的主要限制措施是采用,采用阀型避雷器。
工频耐受电压的确定，通常是通过什么样的等值工频耐受电压来完成的。,比较雷击冲击耐受电压和操作冲击耐受电压   
在污秽地区或操作过电压被限制到较低数值的情况下，线路绝缘水平主要由什么来决定,最大工作电压
气体击穿,气体由绝缘状态变为导电状态的现象称为击穿。
沿面闪络,若气体间隙存在固体或液体电介质，由于固体和液体的交界面处是绝缘薄弱环节，击穿常常发生在固体和液体的交界面上，这种现象称为沿面闪络。
气体击穿,气体由绝缘状态变为导电状态的现象称为击穿。
沿面闪络,若气体间隙存在固体或液体电介质，由于固体和液体的交界面处是绝缘薄弱环节，击穿常常发生在固体和液体的交界面上，这种现象称为沿面闪络。
辉光放电,当气体电压较低，放电回路电源功率较小，外施电压增到一定值时，气体间隙突然放电并使整个间隙发亮，这种放电形式称为辉光放电。
火花放电,放电间隙反复击穿时，在气体间隙中形成贯通两极的断断续续的不稳定的明亮细线状火花，这种放电形式称为火花放电。
电弧放电,若放电回路阻抗较小，电源容量又大，气体间隙一旦放电电流极大，放电间隙温度极高，放电通道发出耀眼的光亮，这种放电形式称为电弧放电。
电晕放电,若构成气体间隙的电极曲率半径很小，或电极间距离很大，当电压升到一定数值时，将在电场非常集中的尖端电极处发生局部的类似月亮晕光的光层，这时用仪表可观测到放电电流。随着电压的增高，晕光层逐渐扩大，放电电流也增大，这种放电形式称为电晕放电。
刷状放电,在电晕放电的条件，电压升的更高，则在电晕电极上伸出许多类似刷状的放电火花，放电电流虽比电晕电流大的多，但电流仍局限在电极附近的区域内，没有贯穿两极，间隙也能承受电压的作用，这种放电形式称为刷状放电。游离过程吸收能量产生电子等带电质点，不利于绝缘；复合过程放出能量，使带电质点减少消失，有利于绝缘。两种过程在气体中同时存在，条件不同，强弱程度不同。游离主要发生在强电场区、高能量区；复合发生在低电场、低能量区。
非自持放电,需要依靠外界游离因素支持的放电称为非自持放电。
自持放电,即使外界游离因素不存在，间隙放电仅依靠电场作用即可继续进行的放电，称为自持放电。
试分析波阻抗的物理意义极其与电阻的不同。,波阻抗Z是电压波与电流波之间的一个比例常数，即Z=u’/I’。和电阻一样，与电源频率或波形无关，呈阻性。不同（1）波阻抗只是一个比例常数，完全没有长度的古、概念，线路长度的大小并不影响波阻抗Z的数值；而一条长线的电阻是与线路长度成正比的；（2）波阻抗从电源吸收的功率和能量是以电磁能的形式储存在导线周围的媒质中，并未消耗掉；而电阻从电源吸收的功率和能量均转化为热能而散失掉了。
在何种情况下应使用串联电感降低入侵波的陡度？在何种情况下应使用并联电容？试举例说明。,电压入射波不是无限长直角波，而是波长很短的矩形波，应使用串联电感，不但能拉平波前和波尾，而且还能在一定程度上降低其峰值。如冲击截波。在无限长直角波的情况下应使用并联电容，此时电容充满电后相当于开路。如电容式电压互感器。
试述冲击电晕对防雷保护的有利和不利方面。,有利(1)偶合系数增大；(2)引起的衰减，导线波阻抗减小；(3)波速减小。
试分析在冲击电压作用下，发电机绕组内部波过程和变压器绕组内部波过程的不同点。,发电机绕组内部波过程与输电线行波运动过程相同，由一系列行波变压器绕组内部波过程是一系列振荡驻波。
试述雷电流幅值的定义。,雷电流幅值是表示强度的指标，也是产生雷电过电压的根源，是最重要的雷电参数。
试分析管型避雷器与保护间歇的异同点。,相同点二者采用的火花间隙亦属极不均匀电场，其伏秒特性很陡，难以与被保护绝缘的伏秒特性取得良好的配合。会产生大幅值截波，对变压器类设备的绝缘很不利。不同点保护间隙没有专门的灭弧装置，因而其灭弧能力很有限的。而管型避雷器虽然有较强能力的保护间隙，但所能灭弧的续有一定的上下限。
某电厂的原油罐，直径10m，高出地面10m，用独立避雷针保护，针距罐壁至少5m，试设计避雷针的高度。,hx≥h/2，即有P=1。由rx=(h- hx)P 解得h=15，若hx≤h/2，解的h与假设不一致。即h=15m
试从物理概念上解释避雷针对降低导线上感应过电压的作用。,避雷针理解为“导闪针”或“引雷针”。它是通过使雷击向自身来发挥其保护作用。由于避雷针一般高于被保护对象，它们的切面先导往往开始得最早，发展得最快，从而最先影响下行先导的发展方向使之击向避雷针，并顺利进入地下，从而使处于它们周围的较低物体受到屏蔽保护，免遭雷击。
试分析雷击杆塔的影响耐雷水平的各种因素的作用，工厂中常采用哪些措施来提高耐雷水平？,作用(1)线路绝缘，提高线路绝缘即提高绝缘子串的50%冲击闪络电压。(2)杆塔接地电阻Ri，降低杆塔接地电阻Ri，提高线路耐雷水平和减少反击概率的主要措施。(3)偶合地线，具有一定的分流作用和增大导地线之间的偶合系数，因而提高线路的耐雷水平和降低雷击跳闸率。                                   措施(1)提高线路绝缘；(2)降低杆塔接地电阻；(3)增大偶合系数。
