有关复电容率$\varepsilon^{\prime}=\varepsilon+i \frac{\sigma}{\omega}$的描述正确的是,实数部分代表位移电流的贡献，它不能引起电磁波功率的耗散；虚数部分是传导电流的贡献，它引起能量耗散,实数部分代表传导电流的贡献，它不能引起电磁波功率的耗散；虚数部分是位移电流的贡献，它引起能量耗散,实数部分代表位移电流的贡献，它引起电磁波功率的耗散；虚数部分是传导电流的贡献，它不能引起能量耗散,实数部分代表传导电流的贡献，它引起电磁波功率的耗散；虚数部分是位移电流的贡献，它不能引起能量耗散,A
金属内电磁波的能量主要是,电场能量,磁场能量,电场能量和磁场能量各一半,一周期内是电场能量，下一周期内则是磁场能量，如此循环,B
可以传播高频电磁波的是,谐振腔,谐振腔,电路系统,同轴电缆,B
下列不是超导体的电磁性质的为,超导电性,迈斯纳效应,迈斯纳效应,阿哈诺夫—玻姆效应,D
1959年，Aharonov和Bohm提出一新的效应（简称A-B效应），此效应说明,电场强度和磁感应强度可以完全描述电磁场,电磁相互作用不一定是局域的,管内的B直接作用到管外的电子上，从而引起干涉条纹移动,A具有可观测的物理效应，它可以影响电子波束的相位，从而使干涉条纹发生移动,D
下列各项中不符合相对论结论的是,同时性的相对性,同时性的相对性,因果律的相对性,空间距离的相对性,D
相对论有着广泛的实验基础，下列实验中不能验证相对论的是,碳素分析法测定地质年代,横向多普勒效应实验,高速运动粒子寿命的测定,携带原子钟的环球飞行试验,A
根据相对论理论下列说法中正确的个数为，⑴ 时间和空间是运动着的物质存在的形式。⑵ 离开物质及其运动，就没有绝对的时空概念。⑶ 时间不可逆地均匀流逝，与空间无关。⑷ 同时发生的两个事件对于任何惯性系都是同时的。⑸ 两事件的间隔不因参考系的变换而改变。,1个,2个,3个,4个,C
绕线式三相感应电动机，转子串电阻起动时,起动转矩增大，起动电流增大,起动转矩增大，起动电流减小,起动转矩增大，起动电流不变,起动转矩减小，起动电流增大,B
笼型三相感应电动机的额定状态转速下降10%，该电机转子电流产生的旋转磁动势相对于定子的转速,上升10%,下降10%,上升1/(1+10%),不变,D
国产额定转速为1450r/min的三相感应电动机为几级电机。,2,4,6,8,B
三相异步电动机气隙增大，其他条件不变，则空载电流,增大,减小,不变,不能确定,A
三相绕线式感应电动机拖动恒转矩负载运行时，采用转子回路串入电阻调速，运行时在不同转速上时，其转子回路电流的大小,与转差率反比,与转差率无关,与转差率正比,与转差率成某种函数关系,B
三相感应电动机电磁转矩的大小和()成正比。电磁功率,输出功率,输入功率,全机械功率,A
国产额定转速为960r/min的感应电动机为()电机。,2级,4级,6级,8级,C
两相对称绕组通以两相对称电流，将产生（）；三相感应电机通以三相对称电流，若一相绕组断线（绕组无中线），将产生脉振磁场,圆形旋转磁场,脉振磁场,椭圆形旋转磁场,方形磁场,A
一台变压器在工作时，额定电压调整率有可能为零，这时的负载性质可能是(),电阻性负载,电阻电容性负载,电感性负载,电阻电感性负载,B
改变三相感应电动机转向的方法是(),改变电源频率,改变电源电压,改变定子绕组中电流的相序,改变电机的极数,C
直流电机电刷处在几何中性线上，当磁路不饱和时的电枢反应是(),交轴电枢反应,直轴去磁,交磁和直轴去磁,直轴加磁,A
若直流发电机额定点时转速升高20%，则空载时发电机的端电压将升高(),小于20%,20%,大于20%,40%,A
有一台两极绕线式感应电动机要想把转速调高，采取下列哪一种调速方法是可行的(),变极调速,转子中串入电阻,变频调速,以上都不行,C
一台直流发电机，其电枢绕组内的电流为(),直流电流,交流电流,正弦电流,以上都不是,B
欲使变压器的ΔU =0，那么负载性质应为(),电阻电感性负载,纯电阻负载,纯感性负载,电阻电容性负载,D
变压器制造时，硅钢片接缝变大，那么此台变压器的励磁电流将(),减小,不变,增大,不确定,C
深槽和双笼感应电机的共同特点是(),改善运行特性,改善起动特性,提高效率,没有共同点,B
一台单相变压器进行短路试验，在高压侧达到额定电流测得的损耗和在低压侧达到额定电流测得的损耗(),不相等,相等,折算后相等,基本相等,B
一台三相异步电动机运行在s=0.02时，则由定子通过气隙传递给转子的功率中有(),2%是电磁功率,2%是机械功率,2%是机械消耗,2%是转子消耗
隐极同步发电机静态稳定运行极限对应的功率角为(),0度,75度,90度,180度,C
下列关于直流电动机说法错误的是(),串励电动机不允许空载或轻载运行,并励电动机不允许励磁回路开路,同时改变直流电动机的励磁及电枢电流方向可改变其转向,其它条件不变，仅降低他励电动机电枢端电压，其转速下降,C
在两相对称绕组中分别通入i1=Imsinwt，i2=Imsin(wt+1200)，则此时产生的磁场(),圆形旋转磁场,椭圆形旋转磁场,脉振磁场,无法确定,B
三相变压器额定电压为220/110V，Yy12，在高压侧作短路实验测得短路阻抗标幺值为0.06，若在低压侧作短路实验，测得短路阻抗标幺值为(),0.06,0.03,0.12,0.24,A
一台50HZ、380V感应电动机，若运行于60HZ、380V电网上，当输出功率保持不变时，则同步转速及电机实际转速将(),增大，减小,增大 ，增大,减小 ，减小,减小 ，增大,B
三相变压器组不宜采用Y，y联接组，主要是为了避免(   ),线电势波形放生畸变,相电势波形发生畸变,损耗增大,效材料的消耗增大,B
铁心叠片越厚其损耗(),越大,越小,不变,不知道,A
直流电动机空载时，气隙中的磁场是由（     ）。,励磁磁场,电枢磁场,励磁磁场和电枢磁场共同作用,以上都不对,A
直流电动机负载后，气隙中的磁场是由（     ）。,励磁磁场,电枢磁场,励磁磁场和电枢磁场共同作用,以上都不对,C
在变压器中，能量从一次绕组传递到二次绕组，是通过（    ）实现的。,主磁通,漏磁通,主磁通和漏磁通,以上都不对,A
一台并励直流发电机，空载运行于某一电压下，如将其转速升高10% 则发电机的端电压将（    ）。,升高10%,不变,升高>10%,升高<10%,D
一台变压器若将其原边外加电压的频率f1提高10，其铁心损耗（  ），激磁电流（  ），激磁电抗（   ）。升高，降低，不变,降低，降低，升高,不变，降低，不变,升高，不变，降低,B
一台变压器带电感性负载时较带电阻性负载时的电压调整率（  ）,大,小,不变,不知道,A
变压器一次绕组接额定电压，二次绕组的输出电压高于额定电压，其负载性质是（  ）。,纯阻负载,容性负载,感性负载,以上答案都不对,B
一台并励直流电动机若改变电源极性，则电机的转向（  ），换向极极性（  ）。,改变，改变,不变，改变,改变，不变,不变，不变,C
变压器的空载损耗（  ）。,全部为铁损耗,全部为铜损耗,主要为铁损耗,主要为铜损耗,C
短路损耗（  ）损耗。,全部为铁损耗,全部为铜损耗,主要为铁损耗,主要为铜损耗,D
一台直流发电机电刷在几何中性线上，负载运行时将产生（）,交轴电枢反应,直轴电枢反应,交轴和直轴电枢反应,以上都不对,B
一台直流发电机分别接成他励和并励，则在额定电压调整率（  ）。,并励＜他励,两者相等,并励>他励,没有关系,C
同步电动机的负载减少时，其转速（  ），功率角（    ）。,上升，上升,下降，下降,不变，下降,上升，不变,B
相同容量和电源电压等级的感应电机和变压器，前者的空载电流（  ）后者。,等于,大于,小于,不变，B
当电路中电流的参考方向与电流的真实方向相反时，该电流（ ）,一定为正值,一定为负值,不能肯定是正值或负值,为0,B
已知空间有a、b两点，电压Uab=10V，a点电位为Va=4V，则b点电位Vb为（ ）,6V,－6V,14V,5V,B
当电阻R上的u、i参考方向为非关联时，欧姆定律的表达式应为（ ）,$u=R_i$,$u=-R_i$,$u=R|i|$,$u=2R_i$,B
一电阻R上、参考方向不一致，令=－10V，消耗功率为0.5W，则电阻R为（）,200Ω,-200Ω,100Ω,500Ω,A
两个电阻串联，R1：R2=1：2，总电压为60V，则U1的大小为(),10V,20V,30V,40V,B
已知接成Y形的三个电阻都是30Ω，则等效Δ形的三个电阻阻值为（）,全是10Ω,两个30Ω一个90Ω,全是90Ω,全是30Ω,C
电阻是（ ）元件，电感是（ ）的元件，电容是（ ）的元件。,储存电场能量，储存磁场能量，耗能,耗能，储存电场能量，储存磁场能量,耗能，储存磁场能量，储存磁场能量,储存磁场能量，耗能，储存磁场能量,C
一个输出电压几乎不变的设备有载运行，当负载增大时，是指（）,负载电阻增大,负载电阻减小,电源输出的电流增大,电源输出的电流减小,C
理想电压源和理想电流源间（）,有等效变换关系,没有等效变换关系,有条件下的等效关系,微弱等效关系,B
当恒流源开路时，该恒流源内部（ ）,有电流，有功率损耗,无电流，无功率损耗,有电流，无功率损耗,无电流，有功率损耗,B
叠加定理只适用于（ ）,交流电路,直流电路,线性电路,交流和直流电路,C
自动满足基尔霍夫第一定律的电路求解法是（）,支路电流法,回路电流法,结点电压法,以下都不满足,B
自动满足基尔霍夫第二定律的电路求解法是（）,支路电流法,回路电流法,结点电压法,以下都不满足,C
必须设立电路参考点后才能求解电路的方法是（）,支路电流法,回路电流法,结点电压法,以下都不满足,C
只适应于线性电路求解的方法是（）,弥尔曼定理,戴维南定理,叠加定理,大数定理,C
一个电热器，接在10V的直流电源上，产生的功率为P。把它改接在正弦交流电源上，使其产生的功率为P/2，则正弦交流电源电压的最大值为（）,7.07V,5V,10V,15V,C
电容元件的正弦交流电路中，电压有效值不变，当频率增大时，电路中电流将（）,增大,减小,不变,不清楚,A
电感元件的正弦交流电路中，电压有效值不变，当频率增大时，电路中电流将（ ）,增大,减小,不变,不清楚,B
实验室中的交流电压表和电流表，其读值是交流电的（）。,最大值,有效值,顺时值,最小值,B
某电阻元件的额定数据为“1KΩ、2.5W”，正常使用时允许流过的最大电流为（）,50mA,2.5mA,250mA,125mA,A
标有额定值为“220V、100W”和“220V、25W”白炽灯两盏，将其串联后接入220V工频交流电源上，其亮度情况是（）,100W的灯泡较亮,25W的灯泡较亮,两只灯泡一样亮,不知道哪个亮,B
已知电路复阻抗Z＝（3－j4）Ω，则该电路一定呈（）,感性,容性,阻性,不知道,B
每只日光灯的功率因数为0.5，当N只日光灯相并联时，总的功率因数（）；若再与M只白炽灯并联，则总功率因数（）,大于0.5，小于0.5,等于0.5，小于0.5,等于0.5，大于0.5,大于0.5，大于0.5,C
